gene	tpm
ENSG00000027644	5.488
ENSG00000027697	173.739
ENSG00000027847	19.116
ENSG00000027869	7.391
ENSG00000028116	31.626
ENSG00000028137	32.395
ENSG00000028203	54.822
ENSG00000028277	2.68
ENSG00000028310	19.037
ENSG00000028528	101.359
ENSG00000028839	50.419
ENSG00000029153	37.549
ENSG00000029363	118.886
ENSG00000029364	23.72
ENSG00000029534	6.138
ENSG00000029559	12.997
ENSG00000029639	12.275
ENSG00000029725	42.315
ENSG00000029993	19.193
ENSG00000030066	26.232
ENSG00000030110	23.55
ENSG00000030304	1.044
ENSG00000030419	9.137
ENSG00000030582	225.447
ENSG00000031003	18.15
ENSG00000031081	10.187
ENSG00000031691	5.754
ENSG00000031698	140.367
ENSG00000031823	27.359
ENSG00000032219	23.145
ENSG00000032389	32.764
ENSG00000032444	18.74
ENSG00000032742	14.926
ENSG00000033011	19.229
ENSG00000033030	26.388
ENSG00000033050	13.377
ENSG00000033100	18.652
ENSG00000033122	0.724
ENSG00000033170	10.057
ENSG00000033178	35.111
ENSG00000033327	4.898
ENSG00000033627	48.635
ENSG00000033800	50.06
ENSG00000033867	8.131
ENSG00000034053	3.377
ENSG00000034152	66.892
ENSG00000034239	6.061
ENSG00000034510	2934.956
ENSG00000034533	7.411
ENSG00000034677	177.345
ENSG00000034693	22.303
ENSG00000034713	229.363
ENSG00000034971	3.993
ENSG00000035115	41.171
ENSG00000035141	44.691
ENSG00000035403	54.885
ENSG00000035499	4.033
ENSG00000035664	18.529
ENSG00000035681	39.671
ENSG00000035687	28.432
ENSG00000035720	5.866
ENSG00000035862	16.881
ENSG00000035928	28.41
ENSG00000036054	24.474
ENSG00000036257	62.385
ENSG00000036448	9.993
ENSG00000036473	0.555
ENSG00000036530	0.638
ENSG00000036549	24.419
ENSG00000036565	1.549
ENSG00000036672	6.702
ENSG00000036828	5.592
ENSG00000037042	19.443
ENSG00000037241	59.347
ENSG00000037280	1.873
ENSG00000037474	54.187
ENSG00000037637	21.351
ENSG00000037749	11.156
ENSG00000037757	11.093
ENSG00000037897	24.657
ENSG00000037965	0.348
ENSG00000038002	16.892
ENSG00000038210	16.117
ENSG00000038219	22.494
ENSG00000038274	125.909
ENSG00000038295	1.583
ENSG00000038358	33.104
ENSG00000038382	33.885
ENSG00000038427	9.093
ENSG00000038532	34.321
ENSG00000038945	0.686
ENSG00000039068	191.703
ENSG00000039123	35.88
ENSG00000039139	3.056
ENSG00000039319	16.891
ENSG00000039523	66.403
ENSG00000039537	0.665
ENSG00000039560	43.718
ENSG00000039600	1.004
ENSG00000039650	44.854
ENSG00000039987	0.945
ENSG00000040199	4.208
ENSG00000040275	13.288
ENSG00000040341	33.141
ENSG00000040487	13.97
ENSG00000040531	15.876
ENSG00000040608	3.552
ENSG00000040633	36.759
ENSG00000040731	0.089
ENSG00000040933	24.463
ENSG00000041353	7.93
ENSG00000041357	380.906
ENSG00000041515	2.44
ENSG00000041802	35.366
ENSG00000041880	24
ENSG00000041982	163.9
ENSG00000041988	18.459
ENSG00000042062	69.03
ENSG00000042088	14.878
ENSG00000042286	6.604
ENSG00000042304	0.193
ENSG00000042317	6.213
ENSG00000042429	27.538
ENSG00000042445	26.156
ENSG00000042493	354.244
ENSG00000042753	90.171
ENSG00000042781	1.682
ENSG00000042813	0.281
ENSG00000042832	4.279
ENSG00000042980	37.299
ENSG00000043039	5.802
ENSG00000043093	25.706
ENSG00000043143	15.107
ENSG00000043355	0.417
ENSG00000043462	20.955
ENSG00000043514	30.141
ENSG00000043591	0.217
ENSG00000044012	10.443
ENSG00000044090	17.895
ENSG00000044115	126.833
ENSG00000044446	14.911
ENSG00000044459	5.316
ENSG00000044524	0.564
ENSG00000044574	652.183
ENSG00000046604	55.19
ENSG00000046647	25.313
ENSG00000046651	44.53
ENSG00000046653	9.719
ENSG00000046774	0.038
ENSG00000046889	2.564
ENSG00000047056	10.02
ENSG00000047188	14.997
ENSG00000047230	13.056
ENSG00000047249	49.956
ENSG00000047315	76.214
ENSG00000047346	23.828
ENSG00000047365	34.897
ENSG00000047410	57.527
ENSG00000047457	0.79
ENSG00000047578	14.398
ENSG00000047579	22.796
ENSG00000047597	1.52
ENSG00000047617	1.445
ENSG00000047621	12.268
ENSG00000047634	19.78
ENSG00000047644	11.825
ENSG00000047648	3.018
ENSG00000047662	0.25
ENSG00000047849	89.538
ENSG00000047932	16.848
ENSG00000047936	1.186
ENSG00000048028	32.089
ENSG00000048052	8.428
ENSG00000048140	38.688
ENSG00000048162	57.62
ENSG00000048342	5.714
ENSG00000048392	20.37
ENSG00000048405	20.922
ENSG00000048462	4.839
ENSG00000048471	52.32
ENSG00000048540	43.206
ENSG00000048544	42.216
ENSG00000048545	4.187
ENSG00000048649	63.1
ENSG00000048707	10.861
ENSG00000048740	54.112
ENSG00000048828	35.141
ENSG00000048991	15.367
ENSG00000049089	16.917
ENSG00000049130	23.209
ENSG00000049167	10.639
ENSG00000049192	0.656
ENSG00000049239	12.266
ENSG00000049245	68.165
ENSG00000049246	17.277
ENSG00000049247	34.138
ENSG00000049249	97.933
ENSG00000049283	19.734
ENSG00000049323	44.332
ENSG00000049449	78.931
ENSG00000049540	16.053
ENSG00000049541	39.705
ENSG00000049618	47.989
ENSG00000049656	66.884
ENSG00000049759	37.938
ENSG00000049768	3.148
ENSG00000049769	5.512
ENSG00000049860	92.671
ENSG00000049883	6.079
ENSG00000050030	0.137
ENSG00000050130	66.448
ENSG00000050165	17.107
ENSG00000050327	6.191
ENSG00000050344	53.352
ENSG00000050393	23.712
ENSG00000050405	167.586
ENSG00000050426	42.825
ENSG00000050438	2.675
ENSG00000050555	0.806
ENSG00000050628	4.448
ENSG00000050730	1.91
ENSG00000050748	20.3
ENSG00000050767	2.25
ENSG00000050820	30.613
ENSG00000051009	28.854
ENSG00000051108	238.924
ENSG00000051128	22.231
ENSG00000051180	7.71
ENSG00000051341	1.484
ENSG00000051382	21.527
ENSG00000051523	399.536
ENSG00000051596	33.84
ENSG00000051620	49.022
ENSG00000051825	18.321
ENSG00000052126	18.146
ENSG00000052344	122.154
ENSG00000052723	37.149
ENSG00000052749	22.269
ENSG00000052795	12.551
ENSG00000052802	81.237
ENSG00000052841	59.527
ENSG00000052850	0.5
ENSG00000053108	10.135
ENSG00000053254	36.218
ENSG00000053328	2.656
ENSG00000053371	88.337
ENSG00000053372	22.496
ENSG00000053438	148.161
ENSG00000053501	34.214
ENSG00000053524	1.213
ENSG00000053702	9.139
ENSG00000053747	51.83
ENSG00000053770	28.527
ENSG00000053900	30.294
ENSG00000053918	8.126
ENSG00000054116	99.583
ENSG00000054118	79.161
ENSG00000054148	305.701
ENSG00000054179	1.757
ENSG00000054219	76.672
ENSG00000054267	64.61
ENSG00000054277	12.702
ENSG00000054282	38.169
ENSG00000054356	0.719
ENSG00000054392	14.574
ENSG00000054523	15.104
ENSG00000054598	35.019
ENSG00000054611	26.026
ENSG00000054654	67.757
ENSG00000054690	12.704
ENSG00000054793	12.109
ENSG00000054796	0.042
ENSG00000054803	0.508
ENSG00000054938	3.206
ENSG00000054965	11.654
ENSG00000054967	50.873
ENSG00000054983	15.042
ENSG00000055044	136.332
ENSG00000055070	59.508
ENSG00000055118	11.322
ENSG00000055130	40.184
ENSG00000055147	13.362
ENSG00000055163	37.669
ENSG00000055208	26.488
ENSG00000055211	41.874
ENSG00000055332	45.973
ENSG00000055483	30.706
ENSG00000055609	43.356
ENSG00000055732	33.244
ENSG00000055813	4.018
ENSG00000055917	35.78
ENSG00000055950	89.826
ENSG00000055955	6.359
ENSG00000055957	4.52
ENSG00000056050	30.369
ENSG00000056097	60.16
ENSG00000056277	2.801
ENSG00000056291	46.878
ENSG00000056487	2.889
ENSG00000056558	70.819
ENSG00000056586	30.09
ENSG00000056736	9.311
ENSG00000056972	43.083
ENSG00000056998	0.451
ENSG00000057019	33.925
ENSG00000057149	332.562
ENSG00000057252	29.839
ENSG00000057294	68.395
ENSG00000057468	0.175
ENSG00000057593	0.678
ENSG00000057608	157.803
ENSG00000057657	12.921
ENSG00000057663	34.167
ENSG00000057704	4.702
ENSG00000057757	125.251
ENSG00000057935	34.765
ENSG00000058056	10.515
ENSG00000058063	34.046
ENSG00000058085	95.199
ENSG00000058091	26.934
ENSG00000058262	79.919
ENSG00000058272	80.606
ENSG00000058335	3.643
ENSG00000058404	34.654
ENSG00000058453	6.229
ENSG00000058600	40.87
ENSG00000058668	35.716
ENSG00000058673	62.725
ENSG00000058729	22.227
ENSG00000058799	25.642
ENSG00000058804	9.288
ENSG00000058866	2.538
ENSG00000059122	39.279
ENSG00000059145	18.988
ENSG00000059377	3.067
ENSG00000059378	85.052
ENSG00000059573	29.846
ENSG00000059588	40.425
ENSG00000059691	17.357
ENSG00000059728	33.709
ENSG00000059758	28.37
ENSG00000059769	6.474
ENSG00000059804	56.307
ENSG00000059915	4.781
ENSG00000060069	13.522
ENSG00000060138	685.779
ENSG00000060140	3.714
ENSG00000060237	41.542
ENSG00000060339	70.744
ENSG00000060491	24.235
ENSG00000060558	39.829
ENSG00000060566	0.747
ENSG00000060642	18.044
ENSG00000060656	9.764
ENSG00000060688	61.328
ENSG00000060709	4.127
ENSG00000060718	0.604
ENSG00000060749	9.02
ENSG00000060762	59.844
ENSG00000060971	70.074
ENSG00000060982	7.097
ENSG00000061273	33.806
ENSG00000061337	6.156
ENSG00000061455	1.1
ENSG00000061492	0.415
ENSG00000061656	3.32
ENSG00000061676	49.859
ENSG00000061794	49.031
ENSG00000061918	9.392
ENSG00000061936	24.311
